Gender,Age_as_of_Academic_Year_1718,Current_Year_1718,Proposed_YearGrade_1819,Previous_Curriculum_17182,Current_School,Current_Curriculum,Previous_yearGrade,Mathexam,Scienceexam_,Englishexam_,Math191_,Science191_,English191_,Math192_,Science192_,English192_,Math193_,Science193_,English193_,Math201_,Science201_,English201_,Math202_,Science202_,English202_,Math203_,Science203_,English203_,average,class
0,4,13,13,0,0,0,0,73.0,74.0,57.0,95.0,79.0,55.0,81.0,88.0,76.0,81.0,60,64.0,67.0,76.0,66.0,83.0,76.0,82.0,93.0,78.0,80.0,75.42857142857143,1
0,3,13,13,0,0,0,0,86.0,97.0,75.0,68.0,71.0,72.0,89.0,71.0,79.0,93.0,97,96.0,99.0,97.0,78.0,93.0,81.0,84.0,96.0,90.0,92.0,85.9047619047619,0
0,3,13,13,0,0,0,0,100.0,86.0,95.0,60.0,64.0,84.0,88.0,89.0,67.0,89.0,73,93.0,77.0,100.0,79.0,76.0,81.0,93.0,80.0,89.0,91.0,83.52380952380952,0
1,4,13,13,0,0,0,0,83.0,78.0,64.0,55.0,87.0,55.0,93.0,90.0,88.0,73.0,77,91.0,92.0,94.0,89.0,98.0,87.0,81.0,73.0,76.0,98.0,82.0,0
0,3,13,13,0,0,0,0,77.0,56.0,62.0,73.0,92.0,77.0,94.0,80.0,92.0,65.0,51,54.0,94.0,94.0,90.0,84.0,79.0,92.0,93.0,78.0,84.0,79.0952380952381,1
1,4,13,13,0,0,0,0,50.0,53.0,52.0,59.0,60.0,52.0,60.0,55.0,62.0,53.0,56,68.0,59.0,60.0,60.0,59.0,60.0,59.0,61.0,65.0,70.0,58.714285714285715,1
1,4,13,13,0,0,0,0,75.0,85.0,88.0,83.0,66.0,60.0,80.0,81.0,72.0,93.0,71,89.0,89.0,82.0,83.0,76.0,79.0,86.0,86.0,81.0,86.0,80.52380952380952,0
1,4,13,13,0,0,0,0,97.0,80.0,83.0,81.0,88.0,86.0,79.0,86.0,70.0,93.0,93,90.0,81.0,84.0,80.0,89.0,85.0,90.0,96.0,86.0,80.0,85.57142857142857,0
0,4,13,13,0,0,0,0,52.0,85.0,67.0,64.0,50.0,83.0,70.0,87.0,65.0,86.0,51,54.0,91.0,61.0,74.0,97.0,76.0,71.0,94.0,79.0,70.0,72.71428571428571,1
0,4,13,13,0,0,0,0,60.0,58.0,54.0,69.0,70.0,58.0,64.0,40.0,55.0,69.0,45,50.0,65.0,48.0,50.0,70.0,55.0,59.0,69.0,58.0,58.0,58.285714285714285,1
0,4,13,13,0,0,0,0,95.0,75.0,70.0,72.0,95.0,81.0,76.0,90.0,91.0,95.0,56,89.0,67.0,93.0,88.0,71.0,73.0,80.0,83.0,90.0,99.0,82.33333333333333,0
1,4,13,13,0,0,0,0,98.0,71.0,71.0,67.0,84.0,65.0,78.0,86.0,86.0,92.0,89,75.0,79.0,81.0,95.0,93.0,95.0,89.0,83.0,94.0,83.0,83.52380952380952,0
1,4,13,13,0,0,0,0,60.0,57.0,80.0,76.0,73.0,73.0,65.0,61.0,86.0,67.0,91,56.0,81.0,61.0,74.0,98.0,80.0,84.0,76.0,79.0,80.0,74.19047619047619,1
0,4,13,13,0,0,0,0,76.0,54.0,85.0,59.0,65.0,69.0,74.0,81.0,80.0,57.0,76,57.0,90.0,69.0,95.0,72.0,69.0,97.0,84.0,92.0,84.0,75.47619047619048,1
0,4,13,13,0,0,0,0,60.0,50.0,58.0,51.0,80.0,66.0,59.0,68.0,60.0,57.0,69,56.0,65.0,62.0,73.0,81.0,96.0,82.0,88.0,95.0,95.0,70.04761904761905,1
1,4,13,13,0,0,0,0,98.0,79.0,81.0,82.0,86.0,73.0,66.0,74.0,89.0,97.0,87,78.0,89.0,86.0,98.0,90.0,76.0,93.0,90.0,93.0,94.0,85.66666666666667,0
0,4,13,13,0,0,0,0,90.0,90.0,79.0,66.0,68.0,90.0,71.0,84.0,73.0,92.0,93,78.0,87.0,83.0,81.0,76.0,82.0,88.0,96.0,80.0,90.0,82.71428571428571,0
0,3,13,13,0,0,0,0,89.0,72.0,94.0,65.0,84.0,71.0,74.0,66.0,65.0,75.0,85,97.0,99.0,87.0,98.0,81.0,87.0,90.0,81.0,94.0,81.0,82.61904761904762,0
1,4,13,13,0,0,0,0,76.0,54.0,83.0,87.0,73.0,85.0,68.0,86.0,81.0,60.0,92,87.0,79.0,80.0,69.0,99.0,82.0,72.0,76.0,94.0,95.0,79.9047619047619,1
1,3,13,13,0,0,0,0,91.0,83.0,53.0,57.0,68.0,74.0,72.0,57.0,76.0,86.0,76,86.0,84.0,64.0,75.0,83.0,77.0,69.0,85.0,81.0,92.0,75.66666666666667,1
1,4,13,13,0,0,0,0,77.0,98.0,89.0,90.0,60.0,72.0,77.0,72.0,82.0,90.0,83,74.0,85.0,90.0,78.0,90.0,85.0,84.0,89.0,83.0,85.0,82.52380952380952,0
1,4,13,13,0,0,0,0,61.0,86.0,85.0,75.0,50.0,92.0,87.0,94.0,95.0,65.0,62,93.0,71.0,84.0,66.0,76.0,92.0,71.0,71.0,88.0,95.0,79.0,1
0,4,13,13,0,0,0,0,89.0,96.0,90.0,84.0,90.0,78.0,86.0,85.0,78.0,79.0,92,92.0,87.0,80.0,82.0,82.0,84.0,75.0,81.0,88.0,97.0,85.47619047619048,0
0,4,13,13,0,0,0,0,94.0,90.0,69.0,63.0,60.0,90.0,61.0,63.0,56.0,79.0,83,63.0,86.0,75.0,71.0,85.0,76.0,73.0,77.0,82.0,93.0,75.66666666666667,1
0,4,13,13,0,0,0,0,83.0,52.0,70.0,78.0,56.0,89.0,62.0,60.0,75.0,57.0,63,83.0,78.0,95.0,70.0,95.0,91.0,82.0,98.0,71.0,87.0,75.95238095238095,1
1,4,13,13,0,0,0,0,71.0,86.0,73.0,68.0,77.0,93.0,66.0,73.0,57.0,76.0,65,91.0,81.0,93.0,76.0,84.0,70.0,78.0,83.0,84.0,85.0,77.61904761904762,1
0,3,13,13,0,0,0,0,83.0,83.0,90.0,62.0,59.0,51.0,95.0,56.0,88.0,50.0,62,81.0,67.0,83.0,83.0,97.0,88.0,70.0,69.0,78.0,95.0,75.71428571428571,1
0,3,13,13,0,0,0,0,80.0,80.0,85.0,93.0,94.0,92.0,80.0,75.0,66.0,76.0,94,60.0,69.0,79.0,83.0,96.0,97.0,72.0,93.0,84.0,81.0,82.33333333333333,0
1,3,13,13,0,0,0,0,71.0,80.0,62.0,93.0,69.0,69.0,68.0,91.0,91.0,75.0,56,71.0,83.0,61.0,78.0,80.0,91.0,75.0,85.0,79.0,77.0,76.42857142857143,1
1,4,13,13,0,0,0,0,93.0,94.0,60.0,66.0,92.0,72.0,94.0,78.0,94.0,73.0,93,87.0,78.0,69.0,60.0,78.0,78.0,87.0,96.0,76.0,72.0,80.47619047619048,0
0,4,13,13,0,0,0,0,85.0,80.0,78.0,65.0,68.0,74.0,81.0,75.0,79.0,96.0,70,85.0,83.0,80.0,82.0,86.0,75.0,89.0,90.0,97.0,98.0,81.71428571428571,0
0,4,13,13,0,0,0,0,90.0,100.0,80.0,63.0,84.0,68.0,71.0,73.0,88.0,79.0,71,75.0,98.0,76.0,97.0,80.0,88.0,94.0,84.0,100.0,91.0,83.33333333333333,0
0,4,13,13,0,0,0,0,62.0,64.0,74.0,83.0,71.0,60.0,60.0,79.0,74.0,62.0,70,82.0,65.0,61.0,72.0,97.0,97.0,87.0,93.0,95.0,83.0,75.76190476190476,1
0,4,13,13,0,0,0,0,77.0,65.0,79.0,82.0,61.0,53.0,64.0,61.0,62.0,57.0,70,55.0,66.0,92.0,63.0,75.0,85.0,81.0,80.0,80.0,94.0,71.52380952380952,1
0,3,13,13,0,0,0,0,73.0,53.0,72.0,93.0,95.0,88.0,71.0,86.0,81.0,50.0,60,70.0,90.0,89.0,86.0,75.0,95.0,80.0,92.0,82.0,85.0,79.33333333333333,1
0,4,13,13,0,0,0,0,77.0,69.0,72.0,64.0,53.0,72.0,88.0,72.0,61.0,70.0,62,83.0,78.0,86.0,83.0,87.0,76.0,69.0,77.0,92.0,75.0,74.57142857142857,1
0,3,13,13,0,0,0,0,50.0,63.0,87.0,94.0,86.0,56.0,78.0,82.0,87.0,76.0,57,75.0,73.0,79.0,89.0,98.0,88.0,73.0,77.0,85.0,75.0,77.52380952380952,1
0,4,13,13,0,0,0,0,68.0,72.0,84.0,83.0,65.0,71.0,84.0,94.0,63.0,80.0,53,95.0,67.0,68.0,90.0,90.0,93.0,94.0,78.0,69.0,96.0,78.9047619047619,1
1,3,13,13,0,0,0,0,90.0,79.0,87.0,81.0,60.0,64.0,62.0,71.0,69.0,80.0,84,50.0,90.0,93.0,73.0,83.0,87.0,78.0,97.0,75.0,96.0,78.52380952380952,1
1,4,13,13,0,0,0,0,69.0,81.0,63.0,59.0,68.0,68.0,64.0,78.0,85.0,88.0,82,51.0,82.0,66.0,64.0,81.0,72.0,81.0,78.0,71.0,96.0,73.66666666666667,1
1,3,13,13,0,0,0,0,52.0,69.0,52.0,95.0,80.0,60.0,66.0,79.0,63.0,88.0,61,69.0,85.0,73.0,86.0,72.0,78.0,88.0,73.0,82.0,87.0,74.19047619047619,1
1,3,13,13,0,0,0,0,92.0,89.0,85.0,94.0,76.0,89.0,93.0,94.0,86.0,81.0,55,88.0,76.0,63.0,68.0,87.0,87.0,90.0,94.0,83.0,91.0,83.85714285714286,0
1,4,13,13,0,0,0,0,87.0,67.0,86.0,83.0,92.0,62.0,77.0,61.0,62.0,70.0,60,82.0,70.0,64.0,63.0,72.0,87.0,91.0,80.0,92.0,70.0,75.14285714285714,1
1,4,13,13,0,0,0,0,56.0,56.0,61.0,79.0,65.0,63.0,85.0,84.0,86.0,75.0,91,50.0,60.0,88.0,83.0,88.0,79.0,82.0,75.0,96.0,75.0,75.0952380952381,1
1,3,13,13,0,0,0,0,64.0,69.0,85.0,58.0,68.0,57.0,95.0,81.0,69.0,59.0,63,74.0,71.0,65.0,67.0,79.0,95.0,72.0,86.0,94.0,90.0,74.33333333333333,1
1,4,13,13,0,0,0,0,89.0,58.0,77.0,91.0,66.0,93.0,93.0,84.0,66.0,61.0,85,77.0,92.0,79.0,95.0,91.0,78.0,69.0,94.0,71.0,77.0,80.28571428571429,0
1,4,13,13,0,0,0,0,65.0,70.0,52.0,58.0,91.0,71.0,77.0,63.0,79.0,94.0,59,90.0,95.0,79.0,67.0,92.0,78.0,72.0,90.0,86.0,80.0,76.57142857142857,1
0,3,13,13,0,0,0,0,80.0,58.0,58.0,89.0,94.0,76.0,78.0,59.0,87.0,90.0,88,61.0,70.0,79.0,73.0,81.0,75.0,70.0,90.0,72.0,87.0,76.9047619047619,1
1,4,13,13,0,0,0,0,85.0,67.0,75.0,70.0,59.0,94.0,89.0,63.0,81.0,59.0,72,61.0,81.0,81.0,85.0,75.0,94.0,76.0,73.0,94.0,82.0,76.95238095238095,1
1,4,13,13,0,0,0,0,53.0,54.0,52.0,82.0,52.0,72.0,72.0,65.0,86.0,66.0,54,69.0,90.0,76.0,73.0,80.0,93.0,86.0,99.0,94.0,99.0,74.61904761904762,1
1,14,12,1,0,0,0,0,65.0,79.0,85.0,68.0,61.0,73.0,62.0,82.0,63.0,80.0,76,51.0,93.0,70.0,87.0,71.0,81.0,77.0,75.0,92.0,79.0,74.76190476190476,1
0,13,12,1,0,0,0,0,84.0,88.0,91.0,82.0,63.0,71.0,66.0,69.0,77.0,82.0,81,54.0,70.0,78.0,73.0,84.0,79.0,72.0,76.0,97.0,86.0,77.28571428571429,1
0,15,12,1,0,0,0,0,52.0,83.0,91.0,68.0,77.0,94.0,90.0,69.0,86.0,74.0,69,64.0,92.0,83.0,93.0,75.0,84.0,91.0,97.0,83.0,85.0,80.95238095238095,0
0,14,12,1,0,0,0,0,57.0,59.0,63.0,77.0,55.0,86.0,88.0,66.0,71.0,71.0,59,61.0,71.0,83.0,89.0,98.0,82.0,93.0,71.0,96.0,85.0,75.28571428571429,1
0,15,12,1,0,0,0,0,52.0,66.0,85.0,90.0,78.0,75.0,81.0,76.0,71.0,64.0,78,95.0,86.0,71.0,64.0,78.0,76.0,95.0,79.0,85.0,94.0,78.04761904761905,1
0,14,12,1,0,0,0,0,58.0,63.0,74.0,81.0,68.0,62.0,90.0,77.0,57.0,65.0,84,67.0,86.0,83.0,70.0,95.0,73.0,73.0,88.0,96.0,79.0,75.66666666666667,1
0,14,12,1,0,0,0,0,96.0,79.0,87.0,82.0,68.0,72.0,66.0,81.0,83.0,81.0,96,92.0,83.0,95.0,89.0,81.0,83.0,80.0,96.0,83.0,90.0,83.95238095238095,0
0,15,12,1,0,0,0,0,66.0,82.0,66.0,56.0,66.0,60.0,93.0,81.0,92.0,95.0,70,76.0,74.0,92.0,69.0,83.0,96.0,69.0,90.0,81.0,70.0,77.47619047619048,1
1,15,12,1,0,0,0,0,53.0,86.0,85.0,64.0,86.0,73.0,90.0,75.0,67.0,80.0,50,75.0,77.0,80.0,73.0,96.0,87.0,93.0,71.0,83.0,89.0,77.76190476190476,1
1,15,12,1,0,0,0,0,95.0,66.0,53.0,50.0,64.0,53.0,64.0,71.0,86.0,51.0,53,59.0,70.0,85.0,67.0,76.0,88.0,74.0,97.0,79.0,91.0,71.04761904761905,1
0,15,12,1,0,0,0,0,52.0,70.0,57.0,73.0,89.0,64.0,57.0,89.0,59.0,54.0,71,85.0,94.0,88.0,68.0,94.0,85.0,83.0,79.0,73.0,70.0,74.0,1
0,15,12,1,0,0,0,0,61.0,82.0,54.0,93.0,65.0,54.0,94.0,67.0,58.0,66.0,90,79.0,75.0,88.0,88.0,90.0,87.0,77.0,74.0,75.0,79.0,76.0,1
1,14,12,1,0,0,0,0,71.0,88.0,51.0,57.0,82.0,63.0,84.0,92.0,77.0,84.0,52,90.0,80.0,82.0,89.0,74.0,78.0,73.0,74.0,87.0,84.0,76.76190476190476,1
0,15,12,1,0,0,0,0,89.0,59.0,62.0,84.0,63.0,95.0,79.0,86.0,88.0,50.0,50,76.0,88.0,73.0,72.0,74.0,98.0,80.0,88.0,97.0,78.0,77.57142857142857,1
0,13,12,1,0,0,0,0,77.0,59.0,76.0,75.0,60.0,60.0,92.0,55.0,77.0,76.0,68,80.0,64.0,68.0,90.0,79.0,82.0,78.0,94.0,95.0,82.0,75.57142857142857,1
1,14,12,1,0,0,0,0,84.0,82.0,80.0,73.0,57.0,94.0,81.0,58.0,72.0,88.0,70,71.0,86.0,71.0,67.0,81.0,79.0,86.0,81.0,69.0,70.0,76.19047619047619,1
1,15,12,1,0,0,0,0,76.0,89.0,64.0,78.0,52.0,53.0,95.0,71.0,94.0,91.0,57,51.0,66.0,75.0,90.0,71.0,89.0,80.0,90.0,88.0,94.0,76.85714285714286,1
0,14,12,1,0,0,0,0,71.0,60.0,87.0,58.0,90.0,88.0,55.0,57.0,55.0,62.0,75,77.0,89.0,73.0,78.0,97.0,74.0,88.0,72.0,76.0,90.0,74.85714285714286,1
0,14,12,1,0,0,0,0,64.0,75.0,69.0,51.0,51.0,57.0,81.0,56.0,58.0,59.0,78,67.0,90.0,82.0,77.0,96.0,85.0,94.0,74.0,80.0,79.0,72.52380952380952,1
1,14,12,1,0,0,0,0,70.0,77.0,98.0,78.0,86.0,63.0,66.0,67.0,73.0,94.0,81,78.0,99.0,92.0,88.0,95.0,90.0,90.0,80.0,83.0,98.0,83.14285714285714,0
1,15,12,1,0,0,0,0,56.0,66.0,94.0,52.0,70.0,76.0,93.0,92.0,91.0,58.0,77,85.0,92.0,80.0,92.0,97.0,69.0,94.0,83.0,78.0,70.0,79.28571428571429,1
0,14,12,1,0,0,0,0,68.0,50.0,89.0,71.0,67.0,90.0,68.0,94.0,89.0,94.0,72,76.0,86.0,64.0,82.0,69.0,85.0,69.0,76.0,77.0,81.0,77.0,1
0,14,12,1,0,0,0,0,84.0,87.0,52.0,77.0,81.0,54.0,75.0,88.0,72.0,79.0,56,76.0,87.0,85.0,95.0,84.0,87.0,93.0,92.0,79.0,98.0,80.04761904761905,0
0,16,2,2,0,0,0,0,61.0,66.0,88.0,95.0,73.0,62.0,68.0,94.0,63.0,93.0,50,93.0,67.0,86.0,85.0,99.0,78.0,95.0,98.0,77.0,99.0,80.47619047619048,0
1,14,2,2,0,0,0,0,76.0,51.0,55.0,66.0,63.0,87.0,77.0,64.0,74.0,95.0,58,61.0,63.0,71.0,91.0,90.0,92.0,75.0,70.0,91.0,70.0,73.33333333333333,1
1,16,2,2,0,0,0,0,80.0,87.0,87.0,68.0,94.0,85.0,55.0,91.0,85.0,79.0,65,93.0,70.0,94.0,89.0,92.0,93.0,90.0,91.0,91.0,89.0,84.19047619047619,0
1,15,2,2,0,0,0,0,74.0,76.0,74.0,78.0,79.0,60.0,73.0,90.0,72.0,87.0,86,75.0,80.0,84.0,92.0,90.0,75.0,78.0,89.0,97.0,91.0,80.95238095238095,0
1,16,2,2,0,0,0,0,78.0,54.0,83.0,64.0,57.0,77.0,81.0,84.0,60.0,75.0,90,79.0,76.0,91.0,91.0,95.0,89.0,87.0,86.0,74.0,92.0,79.19047619047619,1
0,15,2,2,0,0,0,0,90.0,71.0,52.0,87.0,59.0,67.0,66.0,77.0,69.0,78.0,79,72.0,77.0,67.0,70.0,76.0,87.0,79.0,70.0,74.0,90.0,74.14285714285714,1
1,15,2,2,0,0,0,0,61.0,59.0,86.0,90.0,88.0,59.0,75.0,87.0,91.0,74.0,61,57.0,71.0,82.0,91.0,85.0,99.0,93.0,75.0,80.0,73.0,77.95238095238095,1
0,15,2,2,0,0,0,0,81.0,68.0,68.0,86.0,67.0,85.0,85.0,56.0,92.0,76.0,86,80.0,61.0,70.0,67.0,82.0,79.0,78.0,84.0,78.0,83.0,76.76190476190476,1
1,16,2,2,0,0,0,0,79.0,90.0,69.0,84.0,80.0,90.0,85.0,82.0,57.0,76.0,81,62.0,71.0,65.0,67.0,76.0,70.0,82.0,93.0,99.0,97.0,78.80952380952381,1
0,16,2,2,0,0,0,0,88.0,79.0,74.0,63.0,84.0,66.0,90.0,84.0,77.0,95.0,78,95.0,88.0,93.0,85.0,86.0,91.0,91.0,89.0,93.0,90.0,84.71428571428571,0
1,15,2,2,0,0,0,0,82.0,80.0,88.0,82.0,74.0,68.0,67.0,72.0,86.0,77.0,77,97.0,99.0,79.0,84.0,81.0,82.0,79.0,91.0,98.0,95.0,82.76190476190476,0
1,15,2,2,0,0,0,0,58.0,60.0,89.0,59.0,68.0,62.0,80.0,60.0,75.0,60.0,72,92.0,95.0,94.0,68.0,95.0,93.0,71.0,93.0,93.0,84.0,77.19047619047619,1
1,15,2,2,0,0,0,0,51.0,92.0,91.0,65.0,51.0,72.0,92.0,67.0,65.0,90.0,50,74.0,86.0,64.0,79.0,88.0,69.0,84.0,83.0,74.0,81.0,74.66666666666667,1
0,15,2,2,0,0,0,0,70.0,56.0,92.0,54.0,95.0,60.0,81.0,74.0,61.0,72.0,92,74.0,86.0,72.0,87.0,91.0,83.0,99.0,96.0,94.0,91.0,80.0,0
0,16,2,2,0,0,0,0,99.0,82.0,70.0,62.0,65.0,86.0,83.0,68.0,73.0,95.0,94,80.0,79.0,90.0,85.0,95.0,87.0,76.0,94.0,92.0,80.0,82.61904761904762,0
0,15,2,2,0,0,0,0,66.0,79.0,75.0,65.0,72.0,55.0,65.0,79.0,76.0,69.0,69,57.0,62.0,68.0,73.0,90.0,76.0,87.0,95.0,88.0,69.0,73.0952380952381,1
1,15,2,2,0,0,0,0,74.0,82.0,68.0,56.0,78.0,90.0,69.0,55.0,57.0,67.0,66,58.0,75.0,80.0,72.0,86.0,83.0,69.0,73.0,80.0,74.0,72.0,1
0,16,2,2,0,0,0,0,56.0,78.0,78.0,84.0,65.0,55.0,77.0,58.0,66.0,85.0,55,86.0,65.0,75.0,66.0,76.0,97.0,81.0,73.0,77.0,93.0,73.61904761904762,1
0,15,2,2,0,0,0,0,69.0,94.0,67.0,68.0,54.0,78.0,95.0,93.0,88.0,66.0,59,76.0,93.0,95.0,72.0,69.0,92.0,82.0,83.0,89.0,82.0,79.23809523809524,1
1,15,2,2,0,0,0,0,81.0,61.0,80.0,78.0,72.0,82.0,88.0,93.0,88.0,61.0,88,88.0,64.0,76.0,62.0,82.0,87.0,70.0,83.0,99.0,81.0,79.23809523809524,1
1,16,2,2,0,0,0,0,85.0,72.0,72.0,83.0,82.0,74.0,84.0,83.0,64.0,53.0,93,67.0,75.0,82.0,89.0,74.0,97.0,81.0,90.0,80.0,86.0,79.33333333333333,1
0,16,2,2,0,0,0,0,76.0,84.0,98.0,82.0,77.0,90.0,77.0,68.0,74.0,88.0,95,86.0,92.0,83.0,92.0,79.0,89.0,76.0,84.0,82.0,94.0,84.0952380952381,0
1,14,2,2,0,0,0,0,72.0,51.0,85.0,63.0,52.0,95.0,95.0,65.0,95.0,54.0,76,65.0,74.0,78.0,83.0,82.0,90.0,96.0,85.0,94.0,95.0,78.33333333333333,1
1,14,2,2,0,0,0,0,63.0,51.0,84.0,76.0,60.0,71.0,59.0,69.0,89.0,91.0,87,58.0,89.0,82.0,91.0,85.0,82.0,73.0,74.0,84.0,88.0,76.47619047619048,1
0,16,2,2,0,0,0,0,84.0,91.0,52.0,85.0,66.0,69.0,60.0,60.0,59.0,56.0,86,93.0,71.0,60.0,71.0,77.0,94.0,95.0,93.0,82.0,99.0,76.33333333333333,1
0,16,2,2,0,0,0,0,83.0,81.0,57.0,60.0,55.0,65.0,62.0,66.0,90.0,77.0,72,91.0,83.0,91.0,68.0,94.0,99.0,73.0,86.0,79.0,84.0,76.95238095238095,1
0,16,3,3,0,0,0,0,83.0,88.0,85.0,84.0,64.0,83.0,82.0,79.0,69.0,94.0,89,89.0,80.0,75.0,93.0,78.0,78.0,88.0,91.0,89.0,91.0,83.42857142857143,0
1,16,3,3,0,0,0,0,66.0,85.0,52.0,76.0,91.0,52.0,95.0,82.0,70.0,89.0,87,78.0,83.0,94.0,60.0,76.0,96.0,94.0,79.0,98.0,93.0,80.76190476190476,0
1,17,3,3,0,0,0,0,92.0,62.0,76.0,66.0,91.0,59.0,84.0,61.0,78.0,78.0,87,89.0,89.0,82.0,87.0,96.0,94.0,93.0,97.0,89.0,97.0,83.19047619047619,0
1,17,3,3,0,0,0,0,51.0,91.0,69.0,87.0,80.0,51.0,59.0,55.0,89.0,92.0,68,65.0,82.0,74.0,67.0,69.0,94.0,83.0,84.0,85.0,78.0,74.9047619047619,1
0,5,14,0,0,0,0,0,73.0,100.0,92.0,64.0,86.0,81.0,65.0,71.0,81.0,76.0,82,73.0,75.0,92.0,93.0,90.0,80.0,77.0,85.0,92.0,89.0,81.76190476190476,0
1,5,14,0,0,0,0,0,94.0,72.0,52.0,92.0,62.0,53.0,56.0,66.0,57.0,75.0,84,79.0,69.0,95.0,85.0,81.0,91.0,74.0,85.0,85.0,87.0,75.9047619047619,1
1,5,14,0,0,0,0,0,78.0,52.0,59.0,75.0,51.0,50.0,80.0,74.0,79.0,59.0,60,88.0,79.0,89.0,92.0,78.0,72.0,95.0,70.0,89.0,96.0,74.52380952380952,1
1,5,14,0,0,0,0,0,89.0,80.0,86.0,70.0,82.0,84.0,87.0,71.0,62.0,74.0,75,50.0,64.0,68.0,87.0,72.0,99.0,77.0,82.0,69.0,87.0,76.9047619047619,1
0,5,14,0,0,0,0,0,60.0,58.0,80.0,76.0,80.0,82.0,82.0,69.0,89.0,80.0,58,68.0,67.0,78.0,65.0,75.0,93.0,73.0,82.0,89.0,93.0,76.04761904761905,1
1,5,14,0,0,0,0,0,55.0,79.0,68.0,71.0,66.0,51.0,70.0,81.0,79.0,59.0,88,79.0,85.0,83.0,87.0,98.0,71.0,98.0,78.0,70.0,91.0,76.52380952380952,1
1,5,14,0,0,0,0,0,63.0,57.0,72.0,57.0,87.0,69.0,86.0,67.0,83.0,85.0,68,77.0,81.0,89.0,80.0,96.0,71.0,81.0,87.0,81.0,99.0,77.9047619047619,1
0,4,14,0,0,0,0,0,53.0,80.0,75.0,71.0,95.0,80.0,94.0,79.0,86.0,79.0,94,58.0,82.0,71.0,93.0,77.0,78.0,99.0,87.0,94.0,85.0,81.42857142857143,0
0,5,14,0,0,0,0,0,82.0,76.0,75.0,86.0,86.0,84.0,70.0,82.0,63.0,57.0,63,69.0,61.0,90.0,71.0,70.0,79.0,76.0,84.0,85.0,92.0,76.23809523809524,1
0,4,14,0,0,0,0,0,53.0,78.0,50.0,65.0,90.0,87.0,78.0,92.0,70.0,69.0,59,87.0,93.0,84.0,64.0,85.0,74.0,80.0,89.0,92.0,75.0,76.85714285714286,1
0,5,14,0,0,0,0,0,77.0,59.0,66.0,71.0,64.0,70.0,72.0,60.0,67.0,93.0,69,75.0,74.0,79.0,85.0,99.0,99.0,74.0,88.0,76.0,86.0,76.33333333333333,1
0,5,14,0,0,0,0,0,80.0,83.0,61.0,87.0,59.0,85.0,85.0,65.0,74.0,87.0,93,66.0,95.0,89.0,63.0,75.0,77.0,81.0,76.0,85.0,99.0,79.28571428571429,1
0,5,14,0,0,0,0,0,71.0,73.0,86.0,79.0,73.0,60.0,66.0,76.0,63.0,91.0,67,72.0,75.0,77.0,95.0,92.0,94.0,82.0,89.0,93.0,80.0,78.76190476190476,1
