Cell,E,W,N,S
"(2, 2)",0,0,0,0
"(3, 2)",0,0,0,0
"(4, 2)",0,0,0,1
"(5, 2)",0,0,0,0
"(6, 2)",1,1,1,0
"(7, 2)",1,1,0,0
"(8, 2)",0,1,0,1
"(9, 2)",0,0,1,1
"(10, 2)",1,1,1,0
"(11, 2)",0,1,0,1
"(12, 2)",1,0,1,1
"(13, 2)",0,0,0,0
"(14, 2)",1,1,1,0
"(15, 2)",0,0,0,0
"(16, 2)",0,0,0,0
"(17, 2)",1,1,0,1
"(18, 2)",0,0,0,0
"(19, 2)",1,1,1,0
"(20, 2)",0,0,0,0
"(21, 2)",0,0,0,0
"(22, 2)",0,0,0,0
"(23, 2)",0,1,1,1
"(24, 2)",1,0,1,0
"(25, 2)",0,0,0,0
"(26, 2)",1,1,0,0
"(27, 2)",0,0,0,0
"(28, 2)",0,0,0,0
"(29, 2)",0,0,0,0
"(30, 2)",0,0,0,0
"(31, 2)",1,0,1,1
"(32, 2)",0,0,0,0
"(33, 2)",0,1,0,1
"(34, 2)",1,0,1,1
"(35, 2)",1,0,1,1
"(36, 2)",0,0,1,0
"(37, 2)",1,1,0,0
"(38, 2)",0,0,0,0
"(39, 2)",1,0,0,1
"(40, 2)",0,0,0,0
"(41, 2)",0,0,0,0
"(42, 2)",0,0,0,0
"(43, 2)",1,0,1,1
"(44, 2)",0,0,0,0
"(45, 2)",1,0,1,0
"(46, 2)",0,0,0,0
"(47, 2)",1,1,1,0
"(48, 2)",0,1,0,1
"(49, 2)",0,0,0,0
"(50, 2)",0,0,0,0
"(51, 2)",0,0,0,0
"(52, 2)",1,0,1,1
"(53, 2)",0,1,1,1
"(54, 2)",0,0,0,0
"(55, 2)",0,1,1,0
"(56, 2)",1,1,0,1
"(57, 2)",0,0,0,0
"(58, 2)",0,0,0,0
"(59, 2)",0,0,0,0
"(60, 2)",0,0,0,0
"(61, 2)",0,0,0,0
"(62, 2)",0,0,0,0
"(63, 2)",0,0,0,0
"(64, 2)",0,0,0,0
"(65, 2)",1,1,0,0
"(66, 2)",1,1,0,0
"(67, 2)",0,0,0,0
"(68, 2)",1,0,1,1
"(69, 2)",0,0,0,0
"(70, 2)",0,0,0,0
"(1, 3)",0,0,0,0
"(2, 3)",0,0,0,0
"(3, 3)",0,1,1,1
"(4, 3)",0,0,0,0
"(5, 3)",0,0,0,0
"(6, 3)",0,0,0,0
"(7, 3)",0,1,0,1
"(8, 3)",1,0,1,0
"(9, 3)",1,0,0,1
"(10, 3)",1,1,1,1
"(11, 3)",1,0,1,0
"(12, 3)",0,0,0,0
"(13, 3)",1,0,1,0
"(14, 3)",1,1,0,0
"(15, 3)",0,0,0,0
"(16, 3)",0,0,0,0
"(17, 3)",0,0,0,0
"(18, 3)",1,0,0,1
"(19, 3)",0,1,1,0
"(20, 3)",1,1,0,0
"(21, 3)",1,0,0,1
"(22, 3)",0,1,1,0
"(23, 3)",0,0,0,0
"(24, 3)",1,1,1,0
"(25, 3)",1,1,0,0
"(26, 3)",0,0,0,0
"(27, 3)",1,0,1,0
"(28, 3)",0,0,0,0
"(29, 3)",0,0,0,0
"(30, 3)",0,1,1,0
"(31, 3)",0,0,0,0
"(32, 3)",0,0,1,1
"(33, 3)",1,0,1,1
"(34, 3)",0,1,1,0
"(35, 3)",1,1,0,0
"(36, 3)",1,0,0,1
"(37, 3)",0,1,1,0
"(38, 3)",0,0,0,0
"(39, 3)",0,1,0,1
"(40, 3)",1,0,1,0
"(41, 3)",0,0,0,0
"(42, 3)",0,0,0,0
"(43, 3)",1,1,0,1
"(44, 3)",1,0,1,0
"(45, 3)",0,0,0,0
"(46, 3)",0,0,1,1
"(47, 3)",0,0,0,0
"(48, 3)",0,0,0,0
"(49, 3)",0,0,0,0
"(50, 3)",0,0,0,1
"(51, 3)",0,0,0,0
"(52, 3)",1,1,0,0
"(53, 3)",1,0,0,1
"(54, 3)",0,0,0,0
"(55, 3)",0,0,1,0
"(56, 3)",0,0,0,0
"(57, 3)",1,1,0,0
"(58, 3)",0,0,0,0
"(59, 3)",0,0,0,0
"(60, 3)",1,0,1,1
"(61, 3)",0,0,0,0
"(62, 3)",0,1,0,1
"(63, 3)",0,0,0,0
"(64, 3)",1,1,0,1
"(65, 3)",1,1,1,0
"(66, 3)",0,0,0,0
"(67, 3)",0,0,0,0
"(68, 3)",1,1,1,0
"(69, 3)",0,0,0,0
"(70, 3)",0,0,0,0
"(1, 4)",0,0,0,0
"(2, 4)",1,0,0,1
"(3, 4)",0,0,0,0
"(4, 4)",1,0,1,0
"(5, 4)",1,1,0,0
"(6, 4)",0,0,0,0
"(7, 4)",0,0,1,1
"(8, 4)",1,1,1,1
"(9, 4)",0,1,1,0
"(10, 4)",0,0,0,0
"(11, 4)",0,0,0,0
"(12, 4)",1,0,1,1
"(13, 4)",1,1,1,1
"(14, 4)",0,0,0,0
"(15, 4)",0,0,0,0
"(16, 4)",0,1,1,1
"(17, 4)",0,0,0,0
"(18, 4)",0,0,0,0
"(19, 4)",0,0,0,0
"(20, 4)",0,1,1,0
"(21, 4)",1,1,0,1
"(22, 4)",0,0,0,0
"(23, 4)",1,1,1,0
"(24, 4)",1,1,0,1
"(25, 4)",0,0,0,0
"(26, 4)",1,0,1,0
"(27, 4)",0,0,0,0
"(28, 4)",0,1,1,0
"(29, 4)",1,1,0,1
"(30, 4)",1,0,1,0
"(31, 4)",0,0,0,0
"(32, 4)",0,0,0,0
"(33, 4)",0,0,0,0
"(34, 4)",0,0,1,1
"(35, 4)",1,1,1,1
"(36, 4)",0,0,0,0
"(37, 4)",0,0,1,1
"(38, 4)",0,1,1,0
"(39, 4)",0,0,0,0
"(40, 4)",0,0,0,0
"(41, 4)",0,0,0,0
"(42, 4)",0,0,0,0
"(43, 4)",0,0,0,0
"(44, 4)",0,0,0,0
"(45, 4)",1,0,1,0
"(46, 4)",0,0,0,0
"(47, 4)",1,1,1,0
"(48, 4)",0,1,0,0
"(49, 4)",0,1,0,1
"(50, 4)",0,0,1,1
"(51, 4)",0,0,0,0
"(52, 4)",1,1,0,1
"(53, 4)",0,0,0,0
"(54, 4)",0,0,0,0
"(55, 4)",0,0,0,0
"(56, 4)",0,0,0,0
"(57, 4)",0,1,1,1
"(58, 4)",0,0,0,0
"(59, 4)",1,1,0,0
"(60, 4)",1,1,0,0
"(61, 4)",0,0,0,0
"(62, 4)",0,0,1,1
"(63, 4)",1,1,1,0
"(64, 4)",1,1,0,0
"(65, 4)",0,0,0,0
"(66, 4)",0,0,0,0
"(67, 4)",1,1,1,0
"(68, 4)",1,1,0,1
"(69, 4)",0,0,0,0
"(70, 4)",1,1,1,0
"(1, 5)",0,1,0,1
"(2, 5)",0,1,1,0
"(3, 5)",0,0,0,0
"(4, 5)",0,0,0,0
"(5, 5)",0,0,0,0
"(6, 5)",0,0,0,0
"(7, 5)",1,0,1,0
"(8, 5)",1,1,0,1
"(9, 5)",1,0,1,1
"(10, 5)",0,1,1,1
"(11, 5)",1,0,1,1
"(12, 5)",0,0,0,0
"(13, 5)",1,1,0,1
"(14, 5)",0,0,0,0
"(15, 5)",0,0,0,0
"(16, 5)",0,0,0,0
"(17, 5)",0,0,0,0
"(18, 5)",1,1,1,0
"(19, 5)",1,1,0,0
"(20, 5)",0,0,0,0
"(21, 5)",0,1,1,1
"(22, 5)",0,0,0,0
"(23, 5)",1,1,0,0
"(24, 5)",0,0,0,0
"(25, 5)",1,0,0,0
"(26, 5)",0,0,0,0
"(27, 5)",0,0,0,0
"(28, 5)",0,0,0,0
"(29, 5)",0,1,1,0
"(30, 5)",0,0,0,0
"(31, 5)",0,1,1,0
"(32, 5)",1,1,0,1
"(33, 5)",1,0,1,1
"(34, 5)",1,0,1,1
"(35, 5)",0,0,0,0
"(36, 5)",0,0,0,0
"(37, 5)",1,0,1,1
"(38, 5)",1,0,1,1
"(39, 5)",0,0,0,0
"(40, 5)",1,0,0,1
"(41, 5)",0,1,1,0
"(42, 5)",1,1,0,0
"(43, 5)",0,0,0,0
"(44, 5)",0,0,0,0
"(45, 5)",0,1,1,1
"(46, 5)",0,0,0,0
"(47, 5)",0,0,0,0
"(48, 5)",1,0,1,1
"(49, 5)",0,0,1,0
"(50, 5)",1,0,0,1
"(51, 5)",0,1,1,0
"(52, 5)",1,1,0,0
"(53, 5)",0,1,0,1
"(54, 5)",0,0,0,0
"(55, 5)",1,1,0,1
"(56, 5)",1,0,1,0
"(57, 5)",0,0,0,1
"(58, 5)",0,1,1,1
"(59, 5)",0,0,0,0
"(60, 5)",0,0,0,0
"(61, 5)",1,1,0,1
"(62, 5)",1,0,1,1
"(63, 5)",0,0,0,0
"(64, 5)",1,1,0,0
"(65, 5)",0,0,0,0
"(66, 5)",0,0,0,0
"(67, 5)",1,1,0,0
"(68, 5)",1,1,0,0
"(69, 5)",0,0,0,0
"(70, 5)",0,0,0,0
"(1, 6)",1,0,0,1
"(2, 6)",0,0,0,0
"(3, 6)",0,0,0,0
"(4, 6)",0,0,1,1
"(5, 6)",0,1,1,1
"(6, 6)",1,0,1,1
"(7, 6)",0,0,0,0
"(8, 6)",1,1,1,0
"(9, 6)",0,0,0,0
"(10, 6)",1,0,1,0
"(11, 6)",0,0,0,0
"(12, 6)",0,0,0,0
"(13, 6)",1,1,1,0
"(14, 6)",0,0,0,0
"(15, 6)",0,0,0,0
"(16, 6)",0,0,0,0
"(17, 6)",1,0,0,1
"(18, 6)",1,1,1,0
"(19, 6)",1,1,0,1
"(20, 6)",0,1,1,1
"(21, 6)",0,0,0,0
"(22, 6)",0,0,0,0
"(23, 6)",0,1,1,1
"(24, 6)",0,0,0,0
"(25, 6)",0,0,0,0
"(26, 6)",0,0,0,0
"(27, 6)",0,0,0,0
"(28, 6)",0,0,0,0
"(29, 6)",0,0,1,1
"(30, 6)",0,0,0,0
"(31, 6)",0,0,0,0
"(32, 6)",0,0,0,0
"(33, 6)",1,1,0,0
"(34, 6)",0,0,0,0
"(35, 6)",1,1,0,1
"(36, 6)",0,1,1,0
"(37, 6)",1,1,0,0
"(38, 6)",1,1,0,0
"(39, 6)",0,1,0,1
"(40, 6)",1,1,1,1
"(41, 6)",1,0,1,1
"(42, 6)",0,0,0,0
"(43, 6)",1,1,0,0
"(44, 6)",0,0,0,0
"(45, 6)",0,0,0,0
"(46, 6)",0,0,0,0
"(47, 6)",0,0,0,0
"(48, 6)",0,1,0,1
"(49, 6)",1,0,1,1
"(50, 6)",0,0,0,0
"(51, 6)",1,0,0,0
"(52, 6)",0,0,0,0
"(53, 6)",0,0,0,0
"(54, 6)",0,0,1,1
"(55, 6)",0,0,0,0
"(56, 6)",1,1,0,1
"(57, 6)",0,0,1,1
"(58, 6)",1,0,1,0
"(59, 6)",0,0,0,0
"(60, 6)",1,1,0,1
"(61, 6)",0,0,0,0
"(62, 6)",0,0,0,0
"(63, 6)",0,0,0,0
"(64, 6)",0,0,0,0
"(65, 6)",1,1,1,0
"(66, 6)",0,0,0,0
"(67, 6)",0,0,0,0
"(68, 6)",1,1,0,0
"(69, 6)",0,0,0,0
"(70, 6)",0,0,0,0
"(1, 7)",1,1,0,0
"(2, 7)",0,0,0,0
"(3, 7)",0,0,0,0
"(4, 7)",0,0,0,0
"(5, 7)",1,0,1,1
"(6, 7)",0,1,1,1
"(7, 7)",0,0,1,1
"(8, 7)",0,0,0,0
"(9, 7)",0,0,0,0
"(10, 7)",0,1,0,1
"(11, 7)",0,0,0,0
"(12, 7)",0,0,0,0
"(13, 7)",0,0,0,0
"(14, 7)",1,0,1,1
"(15, 7)",0,0,0,0
"(16, 7)",0,1,0,1
"(17, 7)",0,0,0,0
"(18, 7)",1,1,0,1
"(19, 7)",1,1,1,0
"(20, 7)",1,0,0,1
"(21, 7)",0,0,0,0
"(22, 7)",0,0,0,0
"(23, 7)",1,0,1,1
"(24, 7)",0,1,1,0
"(25, 7)",1,1,0,0
"(26, 7)",1,1,0,0
"(27, 7)",0,0,0,0
"(28, 7)",0,0,0,0
"(29, 7)",0,0,0,0
"(30, 7)",0,0,0,0
"(31, 7)",0,0,1,1
"(32, 7)",1,0,1,0
"(33, 7)",1,1,0,0
"(34, 7)",0,0,0,0
"(35, 7)",0,1,1,1
"(36, 7)",0,0,0,0
"(37, 7)",0,0,0,0
"(38, 7)",0,0,0,0
"(39, 7)",0,0,0,0
"(40, 7)",0,0,0,0
"(41, 7)",0,1,0,1
"(42, 7)",0,0,0,0
"(43, 7)",0,0,0,0
"(44, 7)",1,0,1,1
"(45, 7)",0,1,1,1
"(46, 7)",0,0,0,0
"(47, 7)",0,1,0,1
"(48, 7)",0,0,0,0
"(49, 7)",0,0,0,0
"(50, 7)",0,0,0,0
"(51, 7)",0,1,0,1
"(52, 7)",0,0,0,0
"(53, 7)",1,0,1,0
"(54, 7)",0,0,0,0
"(55, 7)",0,1,1,1
"(56, 7)",1,1,1,1
"(57, 7)",0,0,0,0
"(58, 7)",1,1,1,1
"(59, 7)",0,0,0,0
"(60, 7)",0,0,0,0
"(61, 7)",1,1,0,0
"(62, 7)",1,1,0,0
"(63, 7)",0,0,0,0
"(64, 7)",1,0,0,1
"(65, 7)",0,0,0,0
"(66, 7)",1,0,1,1
"(67, 7)",0,0,1,1
"(68, 7)",0,0,0,0
"(69, 7)",1,1,1,0
"(70, 7)",0,0,0,0
"(1, 8)",1,1,0,1
"(2, 8)",1,1,1,0
"(3, 8)",0,0,0,0
"(4, 8)",0,0,0,0
"(5, 8)",0,0,0,0
"(6, 8)",0,0,0,0
"(7, 8)",0,0,0,1
"(8, 8)",1,1,1,0
"(9, 8)",1,1,0,1
"(10, 8)",0,0,0,0
"(11, 8)",0,0,0,0
"(12, 8)",0,0,0,0
"(13, 8)",0,0,0,0
"(14, 8)",0,0,0,0
"(15, 8)",0,0,0,0
"(16, 8)",1,0,0,1
"(17, 8)",0,0,0,0
"(18, 8)",1,1,0,0
"(19, 8)",1,1,0,1
"(20, 8)",0,1,1,0
"(21, 8)",0,0,0,0
"(22, 8)",0,0,0,0
"(23, 8)",0,0,0,0
"(24, 8)",1,0,0,1
"(25, 8)",0,1,1,1
"(26, 8)",0,1,1,0
"(27, 8)",0,0,0,0
"(28, 8)",1,0,0,0
"(29, 8)",1,1,0,1
"(30, 8)",1,0,1,0
"(31, 8)",1,0,0,1
"(32, 8)",0,1,1,1
"(33, 8)",0,1,1,1
"(34, 8)",1,1,1,0
"(35, 8)",1,0,0,1
"(36, 8)",0,0,0,0
"(37, 8)",0,0,0,0
"(38, 8)",0,0,0,0
"(39, 8)",1,1,0,1
"(40, 8)",0,0,0,0
"(41, 8)",1,0,1,1
"(42, 8)",0,0,0,0
"(43, 8)",0,0,1,0
"(44, 8)",1,1,0,1
"(45, 8)",0,0,0,0
"(46, 8)",0,1,1,1
"(47, 8)",0,0,0,0
"(48, 8)",0,0,0,0
"(49, 8)",0,0,0,0
"(50, 8)",1,1,1,1
"(51, 8)",1,0,1,1
"(52, 8)",0,0,0,0
"(53, 8)",0,0,0,0
"(54, 8)",0,1,0,1
"(55, 8)",0,0,0,0
"(56, 8)",0,0,0,0
"(57, 8)",1,0,1,1
"(58, 8)",0,0,0,0
"(59, 8)",0,0,0,0
"(60, 8)",0,1,0,1
"(61, 8)",1,1,1,0
"(62, 8)",0,0,0,0
"(63, 8)",0,0,0,0
"(64, 8)",0,1,0,1
"(65, 8)",0,0,1,1
"(66, 8)",0,1,1,0
"(67, 8)",0,0,0,1
"(68, 8)",0,0,0,0
"(69, 8)",0,0,0,0
"(70, 8)",0,0,0,0
"(1, 9)",1,1,0,0
"(2, 9)",1,1,0,1
"(3, 9)",1,1,1,0
"(4, 9)",1,1,0,1
"(5, 9)",1,1,1,0
"(6, 9)",1,1,0,1
"(7, 9)",0,0,1,1
"(8, 9)",0,1,1,1
"(9, 9)",0,1,1,0
"(10, 9)",0,0,0,0
"(11, 9)",0,0,0,0
"(12, 9)",1,1,0,1
"(13, 9)",0,1,1,1
"(14, 9)",0,0,0,0
"(15, 9)",0,0,0,0
"(16, 9)",1,1,1,0
"(17, 9)",1,0,0,0
"(18, 9)",0,1,0,1
"(19, 9)",0,1,1,1
"(20, 9)",0,0,0,0
"(21, 9)",0,0,0,0
"(22, 9)",1,0,0,1
"(23, 9)",0,0,1,1
"(24, 9)",1,1,1,0
"(25, 9)",1,0,0,1
"(26, 9)",1,0,1,0
"(27, 9)",0,0,0,0
"(28, 9)",0,0,0,0
"(29, 9)",1,1,0,0
"(30, 9)",0,1,0,1
"(31, 9)",0,1,1,1
"(32, 9)",1,0,1,1
"(33, 9)",0,0,0,0
"(34, 9)",1,1,1,1
"(35, 9)",0,1,1,0
"(36, 9)",0,0,0,0
"(37, 9)",0,1,1,1
"(38, 9)",0,0,0,0
"(39, 9)",1,1,1,0
"(40, 9)",0,0,0,0
"(41, 9)",1,1,1,0
"(42, 9)",1,1,0,0
"(43, 9)",1,0,0,1
"(44, 9)",1,1,1,0
"(45, 9)",1,1,0,0
"(46, 9)",0,0,0,0
"(47, 9)",1,0,1,1
"(48, 9)",0,0,0,0
"(49, 9)",0,0,0,0
"(50, 9)",0,0,0,0
"(51, 9)",0,1,0,1
"(52, 9)",0,0,0,0
"(53, 9)",0,0,0,0
"(54, 9)",0,0,0,0
"(55, 9)",0,0,0,0
"(56, 9)",1,0,1,1
"(57, 9)",1,1,1,0
"(58, 9)",1,0,0,1
"(59, 9)",0,1,1,1
"(60, 9)",0,0,0,0
"(61, 9)",0,0,0,0
"(62, 9)",0,0,0,0
"(63, 9)",0,0,0,0
"(64, 9)",0,0,0,0
"(65, 9)",1,0,1,1
"(66, 9)",0,0,0,0
"(67, 9)",1,0,1,1
"(68, 9)",0,0,0,0
"(69, 9)",0,0,1,0
"(70, 9)",0,0,0,0
"(1, 10)",0,0,0,0
"(2, 10)",1,1,1,0
"(3, 10)",0,0,0,0
"(4, 10)",1,1,0,0
"(5, 10)",0,0,0,0
"(6, 10)",1,1,0,1
"(7, 10)",0,0,1,1
"(8, 10)",0,0,1,1
"(9, 10)",0,0,0,0
"(10, 10)",0,0,0,0
"(11, 10)",0,0,0,0
"(12, 10)",0,0,0,0
"(13, 10)",0,0,0,0
"(14, 10)",0,0,0,0
"(15, 10)",0,0,0,0
"(16, 10)",1,1,1,1
"(17, 10)",0,0,0,0
"(18, 10)",0,0,0,0
"(19, 10)",0,0,0,0
"(20, 10)",0,0,0,0
"(21, 10)",0,0,0,0
"(22, 10)",1,1,1,1
"(23, 10)",0,0,0,0
"(24, 10)",1,1,1,0
"(25, 10)",0,0,0,0
"(26, 10)",0,1,0,1
"(27, 10)",1,0,1,1
"(28, 10)",0,0,0,0
"(29, 10)",0,0,0,0
"(30, 10)",0,0,0,0
"(31, 10)",0,0,0,0
"(32, 10)",0,0,0,0
"(33, 10)",0,0,0,0
"(34, 10)",0,0,0,0
"(35, 10)",0,0,0,0
"(36, 10)",0,0,0,0
"(37, 10)",1,0,0,0
"(38, 10)",1,1,0,0
"(39, 10)",0,0,0,0
"(40, 10)",0,0,0,0
"(41, 10)",0,0,0,0
"(42, 10)",1,1,1,0
"(43, 10)",1,1,0,0
"(44, 10)",1,1,0,1
"(45, 10)",1,1,1,1
"(46, 10)",0,0,0,0
"(47, 10)",0,0,0,0
"(48, 10)",1,1,0,1
"(49, 10)",0,1,1,0
"(50, 10)",0,0,0,0
"(51, 10)",0,0,0,0
"(52, 10)",0,0,0,0
"(53, 10)",0,0,0,0
"(54, 10)",1,1,0,0
"(55, 10)",1,1,0,0
"(56, 10)",1,1,0,0
"(57, 10)",0,1,0,1
"(58, 10)",0,0,0,0
"(59, 10)",0,0,0,0
"(60, 10)",0,0,0,0
"(61, 10)",1,1,1,1
"(62, 10)",0,0,0,0
"(63, 10)",0,0,0,0
"(64, 10)",1,0,1,1
"(65, 10)",1,1,1,0
"(66, 10)",1,0,0,1
"(67, 10)",0,1,1,0
"(68, 10)",0,1,0,1
"(69, 10)",0,0,0,0
"(70, 10)",0,0,0,0
"(1, 11)",1,1,0,0
"(2, 11)",0,0,0,0
"(3, 11)",0,0,0,0
"(4, 11)",0,1,0,1
"(5, 11)",0,0,0,0
"(6, 11)",0,1,1,0
"(7, 11)",0,0,0,0
"(8, 11)",0,0,0,0
"(9, 11)",0,0,0,0
"(10, 11)",0,0,0,0
"(11, 11)",0,1,0,1
"(12, 11)",0,0,0,0
"(13, 11)",1,0,1,0
"(14, 11)",0,0,0,0
"(15, 11)",0,0,0,0
"(16, 11)",0,0,0,0
"(17, 11)",0,0,0,0
"(18, 11)",1,0,1,1
"(19, 11)",0,0,0,0
"(20, 11)",0,0,0,0
"(21, 11)",0,1,1,0
"(22, 11)",0,0,0,0
"(23, 11)",0,0,0,0
"(24, 11)",0,1,1,1
"(25, 11)",0,0,0,0
"(26, 11)",1,0,0,0
"(27, 11)",0,1,0,1
"(28, 11)",1,0,1,1
"(29, 11)",0,0,0,0
"(30, 11)",0,1,1,0
"(31, 11)",1,1,0,0
"(32, 11)",1,1,0,0
"(33, 11)",0,0,0,0
"(34, 11)",1,0,1,0
"(35, 11)",0,1,0,1
"(36, 11)",0,0,0,0
"(37, 11)",1,1,0,0
"(38, 11)",0,0,0,0
"(39, 11)",0,0,0,0
"(40, 11)",1,1,0,0
"(41, 11)",1,1,0,0
"(42, 11)",0,0,0,0
"(43, 11)",0,0,0,0
"(44, 11)",0,0,0,0
"(45, 11)",1,1,0,1
"(46, 11)",1,0,1,1
"(47, 11)",0,1,1,0
"(48, 11)",0,0,0,0
"(49, 11)",0,0,1,1
"(50, 11)",1,0,1,0
"(51, 11)",0,0,0,0
"(52, 11)",0,0,0,0
"(53, 11)",0,0,0,0
"(54, 11)",0,1,1,1
"(55, 11)",0,0,0,0
"(56, 11)",1,1,0,0
"(57, 11)",0,0,0,0
"(58, 11)",1,1,0,0
"(59, 11)",0,0,0,0
"(60, 11)",1,1,0,0
"(61, 11)",1,1,0,0
"(62, 11)",0,0,0,0
"(63, 11)",0,0,0,0
"(64, 11)",1,1,0,0
"(65, 11)",0,0,0,0
"(66, 11)",1,1,1,0
"(67, 11)",0,0,0,0
"(68, 11)",0,0,0,0
"(69, 11)",1,0,1,0
"(70, 11)",0,0,0,0
"(1, 12)",0,0,0,0
"(2, 12)",0,0,1,1
"(3, 12)",0,0,0,0
"(4, 12)",0,0,0,0
"(5, 12)",0,0,0,0
"(6, 12)",0,0,0,0
"(7, 12)",0,0,0,0
"(8, 12)",1,1,0,0
"(9, 12)",0,0,0,0
"(10, 12)",1,1,1,0
"(11, 12)",0,0,0,0
"(12, 12)",1,1,1,0
"(13, 12)",0,0,0,0
"(14, 12)",0,1,1,0
"(15, 12)",0,0,0,0
"(16, 12)",0,0,0,0
"(17, 12)",1,1,1,0
"(18, 12)",1,1,0,0
"(19, 12)",0,1,0,1
"(20, 12)",0,0,0,0
"(21, 12)",0,0,0,0
"(22, 12)",0,0,1,1
"(23, 12)",0,0,0,0
"(24, 12)",0,0,1,1
"(25, 12)",0,0,0,0
"(26, 12)",0,0,0,0
"(27, 12)",0,0,1,1
"(28, 12)",0,0,0,0
"(29, 12)",1,0,1,0
"(30, 12)",1,0,0,1
"(31, 12)",0,1,1,0
"(32, 12)",0,0,0,0
"(33, 12)",0,0,0,0
"(34, 12)",0,0,0,0
"(35, 12)",0,0,0,0
"(36, 12)",0,1,0,1
"(37, 12)",0,0,0,0
"(38, 12)",0,1,1,1
"(39, 12)",1,0,1,1
"(40, 12)",0,0,0,0
"(41, 12)",0,0,0,0
"(42, 12)",1,1,0,0
"(43, 12)",1,1,0,0
"(44, 12)",0,0,0,0
"(45, 12)",0,0,0,0
"(46, 12)",0,0,0,0
"(47, 12)",1,0,0,1
"(48, 12)",0,0,0,0
"(49, 12)",0,0,1,0
"(50, 12)",0,0,0,0
"(51, 12)",0,0,0,0
"(52, 12)",0,0,0,0
"(53, 12)",0,0,0,0
"(54, 12)",1,0,1,1
"(55, 12)",1,1,1,1
"(56, 12)",0,0,0,0
"(57, 12)",0,0,0,0
"(58, 12)",1,1,0,1
"(59, 12)",0,0,0,0
"(60, 12)",1,1,1,1
"(61, 12)",0,0,0,0
"(62, 12)",1,0,1,0
"(63, 12)",1,1,0,0
"(64, 12)",0,0,0,0
"(65, 12)",0,0,0,0
"(66, 12)",0,0,0,0
"(67, 12)",0,0,0,0
"(68, 12)",1,0,1,0
"(69, 12)",0,1,0,1
"(70, 12)",0,0,0,0
"(1, 13)",1,0,0,1
"(2, 13)",0,0,0,0
"(3, 13)",0,0,0,0
"(4, 13)",1,1,0,0
"(5, 13)",1,1,0,0
"(6, 13)",1,1,0,1
"(7, 13)",1,0,1,1
"(8, 13)",0,1,1,1
"(9, 13)",0,0,1,1
"(10, 13)",0,0,0,0
"(11, 13)",1,1,0,0
"(12, 13)",0,0,0,0
"(13, 13)",1,0,1,1
"(14, 13)",1,0,1,0
"(15, 13)",0,0,0,0
"(16, 13)",1,0,1,0
"(17, 13)",0,1,0,1
"(18, 13)",0,0,0,0
"(19, 13)",0,0,0,0
"(20, 13)",0,0,1,1
"(21, 13)",1,0,1,1
"(22, 13)",0,0,0,0
"(23, 13)",0,1,1,1
"(24, 13)",0,0,0,0
"(25, 13)",1,1,0,0
"(26, 13)",0,0,0,0
"(27, 13)",1,0,0,1
"(28, 13)",0,0,0,0
"(29, 13)",0,0,0,0
"(30, 13)",0,1,0,1
"(31, 13)",0,0,0,0
"(32, 13)",1,0,1,0
"(33, 13)",1,1,0,0
